id,lon_start,lat_start,lon_end,lat_end,frequency
2736,10.69133,52.417355,10.692274,52.417433,1.028552
2737,10.69133,52.417355,10.690172,52.417266,1.081267
2738,10.690405,52.418568,10.689723,52.417901,0.275503
2739,10.690164,52.417164,10.688843,52.417125,0.569238
2740,10.683536,52.412006,10.683559,52.412368,1.338997
2741,10.681881,52.411903,10.681745,52.412247,1.009557
2742,10.691719,52.416261,10.691271,52.416622,0.854457
2743,10.691977,52.415688,10.691719,52.416261,1.02984
2744,10.691719,52.416261,10.692094,52.416622,0.920385
2745,10.689901,52.416595,10.691271,52.416622,0.625295
2746,10.691271,52.416622,10.69133,52.417355,0.510394
2747,10.69133,52.417355,10.69174,52.418256,0.660153
2748,10.688271,52.418333,10.688144,52.4188,1.230312
2749,10.688144,52.4188,10.68911,52.418804,0.647618
2750,10.68911,52.418804,10.690405,52.418568,0.574107
2751,10.690405,52.418568,10.69136,52.418448,0.605236
2752,10.69136,52.418448,10.69174,52.418256,0.620868
2753,10.69174,52.418256,10.692832,52.418469,0.634401
2754,10.692832,52.418469,10.694205,52.418311,0.631523
2755,10.743771,52.414288,10.743561,52.413207,0.831504
2756,10.743561,52.413207,10.743097,52.413255,0.881734
2757,10.743097,52.413255,10.742758,52.413463,0.877437
2758,10.747347,52.41688,10.747458,52.417258,1.308268
2759,10.747458,52.417258,10.747934,52.417202,1.121375
2760,10.747934,52.417202,10.748614,52.417375,1.119827
2761,10.748614,52.417375,10.749613,52.417265,1.134668
2762,10.746989,52.415471,10.74709,52.416006,1.228064
2763,10.749997,52.415063,10.748493,52.415267,0.884366
2764,10.748493,52.415267,10.746989,52.415471,0.916068
2765,10.746989,52.415471,10.746861,52.414791,1.074202
2766,10.746861,52.414791,10.746733,52.414112,1.110818
2767,10.746733,52.414112,10.747505,52.414499,1.374218
2768,10.747505,52.414499,10.748442,52.414552,1.37065
2769,10.743537,52.414519,10.742788,52.414298,0.675361
2770,10.742788,52.414298,10.743074,52.413857,0.602421
2771,10.743074,52.413857,10.742758,52.413463,0.673945
2772,10.742758,52.413463,10.741917,52.413668,1.007794
2773,10.71054,52.418019,10.711157,52.418034,0.761336
2774,10.710544,52.417196,10.71054,52.418019,1.034155
2775,10.71054,52.418019,10.710351,52.418272,1.078892
2776,10.737647,52.409501,10.738881,52.409925,1.136191
2777,10.744258,52.411929,10.74372,52.412023,0.735497
2778,10.74372,52.412023,10.741805,52.412311,0.498931
2779,10.745299,52.411732,10.744772,52.411839,0.902439
2780,10.744258,52.411929,10.744772,52.411839,0.836209
2781,10.745299,52.411732,10.745813,52.411654,0.97603
2782,10.722349,52.419429,10.723368,52.419272,0.991867
2783,10.679889,52.411008,10.680722,52.411605,0.763034
2784,10.680722,52.411605,10.680931,52.412192,0.783443
2785,10.724791,52.419933,10.724863,52.41898,0.028484
2786,10.725979,52.418848,10.725935,52.419847,-0.068989
2787,10.727111,52.418733,10.726999,52.419756,0.572685
2788,10.679498,52.4102,10.679389,52.410522,0.78215
2789,10.679389,52.410522,10.679889,52.411008,0.79256
2790,10.679889,52.411008,10.680852,52.410743,0.644396
2791,10.679978,52.407951,10.679697,52.408213,0.520126
2792,10.679697,52.408213,10.679118,52.408384,0.258045
2793,10.679118,52.408384,10.678879,52.408971,0.30099
2794,10.678879,52.408971,10.679456,52.409778,0.506414
2795,10.679456,52.409778,10.679498,52.4102,0.713513
2796,10.679498,52.4102,10.680396,52.410041,0.859322
2797,10.728631,52.418675,10.728623,52.419615,0.646262
2798,10.749746,52.413825,10.750116,52.414521,0.907298
2799,10.748094,52.413922,10.749746,52.413825,0.82425
2800,10.749746,52.413825,10.751241,52.413546,0.861485
2801,10.750866,52.422403,10.750585,52.421683,0.908055
2802,10.765868,52.418672,10.765269,52.419655,0.477656
2803,10.751227,52.421633,10.750585,52.421683,0.444064
2804,10.750585,52.421683,10.750255,52.420925,0.921335
2805,10.750255,52.420925,10.749926,52.420166,0.906699
2806,10.756175,52.419485,10.755687,52.418781,0.987614
2807,10.757408,52.417286,10.758251,52.417649,1.064354
2808,10.755859,52.418334,10.755687,52.418781,0.955974
2809,10.746715,52.416923,10.747347,52.41688,1.341913
2810,10.747347,52.41688,10.74709,52.416006,1.173215
2811,10.74709,52.416006,10.746502,52.416186,0.696077
2812,10.725894,52.390247,10.725847,52.389738,1.061315
2813,10.76003,52.392828,10.760431,52.392619,1.061249
